# Gamemaster Commands
GMCommands.Error:							오류: {0}
GMCommands.Crafting.Usage.SalvageUpdate:	/crafting salvageupdate <SalvageYieldID> <MaterialId_nb> <Count> <Realm> [PackageID]
GMCommands.Crafting.Usage.SalvageInfo:		/crafting salvageinfo <SalvageYieldID>
GMCommands.Crafting.Usage.List:				'/crafting list' 모든 제작 스킬과 해당 ID 목록을 표시합니다
GMCommands.Crafting.SkillDescription:		제작 스킬 ID 설명:
GMCommands.Crafting.NoPlayerTarget:			이 명령어를 사용하려면 플레이어를 대상으로 지정해야 합니다.
GMCommands.Crafting.InvalidSkill:			유효한 제작 스킬 ID를 입력해야 합니다. 명령어 개요를 보려면 /crafting을 입력하세요.
GMCommands.Crafting.SkillAdded:				제작 스킬 {0}이(가) 정상적으로 추가되었습니다.
GMCommands.Crafting.AlreadyHaveSkill:		{0}은(는) 이미 제작 스킬 {1}을(를) 보유하고 있습니다.
GMCommands.Crafting.NotHaveSkillAddIt:		{0}은(는) 제작 스킬 {1}을(를) 보유하고 있지 않습니다. 먼저 추가하세요.
GMCommands.Crafting.SkillChanged:			제작 스킬 {0}이(가) 정상적으로 변경되었습니다.
GMCommands.Crafting.NowHasSkillPoints:		{0}은(는) 이제 {2}에 {1}을(를) 보유합니다.
GMCommands.Crafting.SalvageYieldNotFound:	분해 산출 ID를 찾을 수 없습니다!
GMCommands.Crafting.NotFound:				찾을 수 없음!
GMCommands.Crafting.Unused:					사용 안 함
GMCommands.Crafting.Calculated:				계산됨
GMCommands.Crafting.Realm.Any:				전체
GMCommands.Crafting.SalvageInfo.ID:			분해 산출 ID: {0}
GMCommands.Crafting.SalvageInfo.ObjectType:	     오브젝트 타입: {0}
GMCommands.Crafting.SalvageInfo.SalvageLevel:	   분해 레벨: {0}
GMCommands.Crafting.SalvageInfo.Material:	       재료: {0} ({1})
GMCommands.Crafting.SalvageInfo.Count:	          수량: {0}
GMCommands.Crafting.SalvageInfo.Realm:	          렐름: {0}
GMCommands.Crafting.SalvageInfo.PackageID:	      패키지 ID: {0}
GMCommands.Crafting.SalvageInfo.WindowTitle:	분해 산출 ID {0}
GMCommands.Crafting.MaterialNotFound:			재료 id_nb {0}을(를) 찾을 수 없습니다!
GMCommands.Crafting.SalvageYieldAlreadyExists:	이 분해 산출 ID는 이미 존재합니다. 변경하려면 salvageupdate를 사용하세요.
GMCommands.Crafting.SalvageYieldCreated:		분해 산출 ID 생성됨: {0}, 재료: {1}, 수량: {2}, 렐름: {3}, 패키지 ID: {4}
GMCommands.Crafting.SalvageIdNotFound:		분해 ID를 찾을 수 없습니다!
GMCommands.Crafting.SalvageYieldLegacyCannotUpdate:	이 분해 산출 ID는 레거시 분해 지원에 사용되므로 업데이트할 수 없습니다.
GMCommands.Crafting.SalvageYieldUpdated:		분해 산출 ID 업데이트됨: {0}, 재료: {1}, 수량: {2}, 렐름: {3}, 패키지 ID: {4}

## /debug
GMCommands.Debug.Description:				디버그를 활성화하거나 비활성화합니다
GMCommands.Debug.Usage:						/debug <on/off>
GMCommands.Debug.ModeON:					디버그 모드 켜짐
GMCommands.Debug.ModeOFF:					디버그 모드 꺼짐

## /hascredit
GMCommands.HasCredit.Description:			플레이어에게 몹 처치 크레딧이 있는지 확인합니다
GMCommands.HasCredit.Usage:					/hascredit <mobname>


# ]jump
GMCommands.DebugJump.Description:			자신을 지정한 위치로 순간이동합니다
GMCommands.DebugJump.Usage:					']jump <zoneID> <locX> <locY> <locZ> <heading>' 디버그 모드에서 *jump에 자동 사용됩니다
GMCommands.DebugJump.InvalidZoneID:			잘못된 존 ID: {0}
GMCommands.DebugJump.UnknownZoneID:			알 수 없는 존 ID: {0}
GMCommands.DebugJump.UnknownRegion:			알 수 없는 지역({0})입니다.
GMCommands.DebugJump.RegionNotSuppByClient:	지역({0})은(는) 당신의 클라이언트에서 지원되지 않습니다.

## /door
GMCommands.Door.Description:				문을 수정합니다
GMCommands.Door.Name:					문 이름을 변경하려면 '/door name <name>'을 사용하세요
GMCommands.Door.Level:					문 레벨을 변경하려면 '/door level <level>'을 사용하세요
GMCommands.Door.Realm:					문 렐름을 변경하려면 '/door realm <realm>'을 사용하세요. realm = 0이면 파괴되기 전까지 문이 열리지 않습니다
GMCommands.Door.Guild:					문 길드를 변경하려면 '/door guild <guild>'를 사용하세요
GMCommands.Door.Info:					정보를 표시하려면 '/door info'를 사용하세요
GMCommands.Door.Heal:					문 내구도를 최대치로 설정하려면 '/door heal'을 사용하세요
GMCommands.Door.Kill:					문 내구도를 0으로 설정하려면 '/door kill'을 사용하세요(문 열림)
GMCommands.Door.Locked:					문을 잠그려면 '/door locked'를 사용하세요 - 잠금 해제 아이템을 코딩할 수 있습니다
GMCommands.Door.Unlocked:				문을 잠금 해제하려면 '/door unlocked'를 사용하세요 - 잠금 아이템을 코딩할 수 있습니다
GMCommands.Door.Update:					GM의 xyz 좌표로 데이터베이스의 문을 업데이트하려면 '/door update'를 사용하세요
GMCommands.Door.Delete:					대상 문을 삭제하려면 '/door delete'를 사용하세요
GMCommands.Door.Add:					문을 추가하려면 '/door add'를 사용하세요

## /faction
GMCommands.Faction.Description:				팩션을 만들고 우호/적대 팩션을 지정합니다
GMCommands.Faction.Usage.Create:			팩션을 만들려면 '/faction create <name> <base aggro level>'을 사용하세요
GMCommands.Faction.Usage.Assign:			대상 몹에 팩션을 배정하려면 '/faction assign'을 사용하세요
GMCommands.Faction.Usage.AddFriend:			현재 팩션에 우호 팩션을 추가하려면 '/faction addfriend <factionid>'를 사용하세요
GMCommands.Faction.Usage.AddEnemy:			현재 팩션에 적을 추가하려면 '/faction addenemy <factionid>'를 사용하세요
GMCommands.Faction.Usage.Relations:			현재 팩션의 관계를 표시하려면 '/faction relations'를 사용하세요
GMCommands.Faction.Usage.List:				모든 팩션 목록을 보려면 '/faction list'를 사용하세요
GMCommands.Faction.Usage.Select:			해당 ID의 팩션을 선택하려면 '/faction select <factionid>'를 사용하세요
GMCommands.Faction.MustSelectFaction:		먼저 팩션을 선택해야 합니다.
GMCommands.Faction.IndexMustBeNumber:		인덱스는 숫자여야 합니다.
GMCommands.Faction.FactionNotLoaded:		이 Faction은 로드되지 않았습니다
GMCommands.Faction.Create.BAMustBeNumber:	baseAggro는 숫자여야 합니다.
GMCommands.Faction.Create.NewCreated:		새 팩션이 생성되었습니다
GMCommands.Faction.Assign.MustSelectMob:	먼저 몹을 선택해야 합니다.
GMCommands.Faction.Assign.MobHasJoinedFact:	몹 {0}이(가) {1}의 팩션에 합류했습니다.
GMCommands.Faction.Relations.Header:        #{0}: {1} ({2}) 팩션 관계:
GMCommands.Faction.Relations.FriendsHeader:  우호 관계:
GMCommands.Faction.Relations.EnemiesHeader:  적대 관계:
GMCommands.Faction.Relations.Hardcoded:     [하드코딩]
GMCommands.Faction.Relations.NotReciprocal: [상호 관계 아님]
GMCommands.Faction.Relations.Line:          #{0}: {1} ({2}){3}
GMCommands.Faction.Select.Selected:         #{0}: {1} ({2}) 팩션을 선택했습니다.

## /gmappeal
Scripts.Players.Appeal.UseGMappeal:				플레이어의 문의 처리를 도우려면 /gmappeal을 사용하세요.
Scripts.Players.Appeal.MustBeAssisting:			먼저 문의를 제출한 활성 플레이어를 지원 중이어야 합니다.
Scripts.Players.Appeal.NoLocationToJump:		되돌아갈 위치가 없습니다.
Scripts.Players.Appeal.NoLongerReceiveMsg:		이번 세션에서는 더 이상 문의 메시지를 받지 않습니다.
Scripts.Players.Appeal.NowReceiveMsg:			이번 세션에서 문의 메시지를 다시 받습니다.
Scripts.Players.Appeal.UseCmdTurnBackOn:		메시지를 다시 켜려면 /gmappeal mute를 한 번 더 사용하세요.
Scripts.Players.Appeal.UseCmdTurnBackOff:		메시지를 다시 끄려면 /gmappeal mute를 한 번 더 사용하세요.
Scripts.Players.Appeal.CantCancelWhile:			도움을 받는 중에는 문의를 취소할 수 없습니다.
Scripts.Players.Appeal.NoAppealToView:			현재 확인할 문의가 없습니다.
Scripts.Players.Appeal.NoAppealsinQueue:		현재 대기열에 문의가 없습니다.
Scripts.Players.Appeal.CantFindAppeal:			해당 오프라인 플레이어 이름으로 된 문의를 찾을 수 없습니다. 철자가 맞는지 확인하세요.
Scripts.Players.Appeal.NameNotUnique:			캐릭터 이름이 고유하지 않습니다.
Scripts.Players.Appeal.PlayerNotFound:			{0}은(는) 게임에 접속해 있지 않습니다.
Scripts.Players.Appeal.RandMessage0:			{0}님, 기다려 주셔서 감사합니다. 무엇을 도와드릴까요?
Scripts.Players.Appeal.RandMessage1:			안녕하세요 {0}님, 오늘 무엇을 도와드릴까요?
Scripts.Players.Appeal.RandMessage2:			안녕하세요 {0}님! 도와드리러 왔습니다. 무엇을 도와드릴까요?
Scripts.Players.Appeal.RandMessage3:			안녕하세요 {0}님, 도움이 필요하신 것으로 알고 있습니다. 오늘 무엇을 도와드릴까요?
Scripts.Players.Appeal.RandMessage4:			안녕하세요 {0}님, 문제가 생겨 유감입니다. 어떤 문제가 있으신가요?
Scripts.Players.Appeal.BeingHelped:				해당 플레이어는 이미 도움을 받고 있습니다.
Scripts.Players.Appeal.NotBeingHelped:			해제하려면 먼저 이 플레이어의 문의를 지원 중이어야 합니다.
Scripts.Players.Appeal.DoesntHaveAppeal:		해당 플레이어는 이미 문의를 취소했거나 문의가 없습니다.

## /gmrelic
GMCommands.GMRelic.Description:				새 Relic을 생성합니다
GMCommands.GMRelic.Usage:					/gmrelic <magic|strength> <realm>

## /gmrelicpad
GMCommands.GMRelicPad.Description:			새 RelicPad를 생성합니다
GMCommands.GMRelicPad.Usage:				/gmrelicpad <magic|strength> <name> <realm>

## /harm
GMCommands.Harm.Description:				대상에게 피해를 줍니다(체력)
GMCommands.Harm.Usage:						/harm <amount>
GMCommands.Harm.InvalidTarget:				유효한 대상을 선택하지 않았습니다

## /heal
GMCommands.Heal.Description:				대상의 체력, 지구력, 마나를 회복합니다
GMCommands.Heal.Usage:						/heal

## /item
GMCommands.Item.Description:				아이템 관리 명령어입니다.
GMCommands.Item.Information:				슬롯 번호는 선택 사항이며 생략하면 기본값은 79번(마지막 가방 슬롯)입니다. 공백이 있는 이름은 "<name>"처럼 따옴표로 입력하세요.
GMCommands.Item.Usage.Blank:				'/item blank' - 빈 아이템을 생성합니다
GMCommands.Item.Usage.Info:					'/item info <ItemTemplateName>' - ItemTemplate 정보를 표시합니다
GMCommands.Item.Usage.Create:				'/item create <ItemTemplateName> [count]' - 템플릿에서 새 아이템을 생성합니다
GMCommands.Item.Usage.Count:				'/item count <Amount> [slot #]' - 아이템 수량을 변경합니다
GMCommands.Item.Usage.MaxCount:				'/item maxcount <Amount> [slot #]' - 한 슬롯에 허용되는 최대 수량을 변경합니다
GMCommands.Item.Usage.PackSize:				'/item packsize <Amount> [slot #]' - 한 번에 판매되는 아이템 수량을 변경합니다
GMCommands.Item.Usage.Model:				'/item model <ModelID> [slot #]' - 아이템 모델을 변경합니다
GMCommands.Item.Usage.Extension:			'/item extension <ExtensionID> [slot #]' - 아이템 확장값을 변경합니다
GMCommands.Item.Usage.Color:				'/item color <ColorID> [slot #]' - 아이템 색상을 변경합니다
GMCommands.Item.Usage.Effect:				'/item effect <EffectID> [slot #]' - 아이템 효과를 변경합니다
GMCommands.Item.Usage.Name:					'/item name <NameID> [slot #]' - 아이템 이름을 변경합니다
GMCommands.Item.Usage.Description:			'/item description <Description> <slot>' - 아이템 설명을 설정합니다
GMCommands.Item.Usage.CrafterName:			'/item craftername <CrafterNameID> [slot #]' - 아이템 제작자 이름을 변경합니다
GMCommands.Item.Usage.Type:					'/item type <TypeID> [slot #]' - 아이템 타입을 변경합니다
GMCommands.Item.Usage.Object:				'/item object <ObjectID> [slot #]' - 오브젝트 타입을 변경합니다
GMCommands.Item.Usage.Hand:					'/item hand <HandID> [slot #]' - 아이템 착용 손 정보를 변경합니다
GMCommands.Item.Usage.DamageType:			'/item damagetype <DamageTypeID> [slot #]' - 아이템 피해 타입을 변경합니다
GMCommands.Item.Usage.Emblem:				'/item emblem <EmblemID> [slot #]' - 아이템 문장을 변경합니다
GMCommands.Item.Usage.Price:				'/item price <platinum> <gold> <silver> <copper> [slot #]' - 아이템 가격을 변경합니다
GMCommands.Item.Usage.Condition:			'/item condition <con> <maxCon> [slot #]' - 아이템 상태를 변경합니다
GMCommands.Item.Usage.Quality:				'/item quality <qua> [slot #]' - 아이템 품질을 변경합니다
GMCommands.Item.Usage.Durability:			'/item durability <dur> <maxDur> [slot #]' - 아이템 내구도를 변경합니다
GMCommands.Item.Usage.isPickable:			'/item ispickable <true|false> [slot #]' - 아이템을 주울 수 있는지 설정합니다
GMCommands.Item.Usage.isDropable:			'/item isdropable <true|false> [slot #]' - 아이템을 버릴 수 있는지 설정합니다
GMCommands.Item.Usage.IsTradable:			'/item istradable <true|false> [slot #]' - 아이템을 거래할 수 있는지 설정합니다
GMCommands.Item.Usage.IsStackable:			'/item isstackable <true|false> [slot #]' - 아이템을 중첩할 수 있는지 설정합니다
GMCommands.Item.Usage.IsNotLosingDUR:		'/item isnotlosingdur <true|false> [slot #]' - 수리 후 내구도가 감소하지 않는지 설정합니다
GMCommands.Item.Usage.IsIndestructible:		'/item isindestructible <true|false> [slot #]' - 아이템이 파괴 불가능한지 설정합니다
GMCommands.Item.Usage.CanDropAsLoot:		'/item candropasloot <true|false> [slot #]' - 아이템이 전리품으로 드롭될 수 있는지 설정합니다
GMCommands.Item.Usage.Bonus:				'/item bonus <bonus> [slot #]' - 아이템 보너스를 설정합니다
GMCommands.Item.Usage.mBonus:				'/item mbonus <num> <BonusType> <value> [slot #]' - 아이템 마법 보너스를 설정합니다(num 0 = ExtraBonus)
GMCommands.Item.Usage.Weight:				'/item weight <weight> [slot #]' - 아이템 무게를 설정합니다
GMCommands.Item.Usage.DPS_AF:				'/item dps_af <NewDPS_AF> [slot #]' - 아이템 DPS_AF를 변경합니다
GMCommands.Item.Usage.SPD_ABS:				'/item spd_abs <NewSPD_ABS> [slot #]' - 아이템 SPD_ABS를 변경합니다
GMCommands.Item.Usage.Material:				'/item material <Material> <MaterialLevel> [slot #]' - 아이템 재질을 변경합니다
GMCommands.Item.Usage.Scroll:				'/item scroll <ArtifactID> <PageNumber>' - 아티팩트 스크롤을 생성합니다
GMCommands.Item.Usage.Spell:				'/item spell <Charges> <MaxCharges> <SpellID> [slot #]' - 아이템 주문 충전 #0을 변경합니다
GMCommands.Item.Usage.Spell1:				'/item spell1 <Charges> <MaxCharges> <SpellID> [slot #]' - 아이템 주문 충전 #1을 변경합니다
GMCommands.Item.Usage.Proc:					'/item proc <SpellID> [slot #]' - 아이템 발동 주문 #0을 변경합니다
GMCommands.Item.Usage.Proc1:				'/item proc1 <SpellID> [slot #]' - 아이템 발동 주문 #1을 변경합니다
GMCommands.Item.Usage.ProcChance:			'/item procchance <chance>' - 발동 확률을 변경합니다
GMCommands.Item.Usage.Poison:				'/item poison <Charges> <MaxCharges> <SpellID> [slot #]' - 아이템 독을 변경합니다
GMCommands.Item.Usage.Realm:				'/item realm <num> [slot #]' - 아이템 렐름을 변경합니다
GMCommands.Item.Usage.ClassType:			'/item classtype <ClassType> <slot>' - 아이템 ClassType을 설정합니다
GMCommands.Item.Usage.PackageID:			'/item packageid <PackageID> <slot>' - 아이템 PackageID를 설정합니다
GMCommands.Item.Usage.LevelRequired:		'/item levelrequired <level> <slot>' - 주문과 발동 효과 사용에 필요한 레벨을 설정합니다
GMCommands.Item.Usage.BonusLevel:			'/item bonuslevel <level> <slot>' - 아이템 보너스가 적용되기 위한 레벨을 설정합니다
GMCommands.Item.Usage.Flags:				'/item flags <flags> <slot>' - 아이템 플래그를 설정합니다
GMCommands.Item.Usage.Classes:				'/item classes <csv_allowed_classes> <slot>' - 허용 클래스 목록을 설정 및 교체합니다(0은 전체 허용)
GMCommands.Item.Usage.SalvageID:			'/item salvageid <SalvageYield ID> <slot>' - 아이템 SalvageYieldID를 설정합니다
GMCommands.Item.Usage.SalvageInfo:			'/item salvageinfo <SalvageYield ID> <slot>' - 아이템 분해 산출 정보를 표시합니다
GMCommands.Item.Usage.Update:				'/item update <slot>' - 이 아이템의 변경 사항을 ItemTemplate에도 적용하고 DB 저장 대상으로 표시합니다
GMCommands.Item.Usage.Save:					'/item save <TemplateID> [slot #]' - 새 템플릿을 생성하거나 기존 템플릿을 저장합니다
GMCommands.Item.Usage.AddUnique:			'/item addunique <id_nb> <slot>' - 아이템을 고유 아이템으로 저장합니다
GMCommands.Item.Usage.SaveUnique:			'/item saveunique <id_nb> <slot>' - 고유 아이템을 업데이트합니다
GMCommands.Item.Usage.SaveTemplate:			'/item savetemplate <TemplateID> [slot #]' - 새 템플릿을 생성합니다
GMCommands.Item.Usage.TemplateID:			'/item templateid <TemplateID> [slot #]' - 아이템 템플릿 ID를 변경합니다
GMCommands.Item.Usage.FindID:				'/item findid <part_of_id>'
GMCommands.Item.Usage.FindName:				'/item findname <part_of_name>'
GMCommands.Item.Usage.Load:					'/item load <id_nb>' - DB에서 아이템을 불러와 ItemTemplate 캐시에 교체 또는 추가합니다
GMCommands.Item.Usage.LoadPackage:			'/item loadpackage <packageid> | **all**' - 패키지의 모든 아이템을 DB에서 불러와 ItemTemplate 캐시에 교체 또는 추가합니다. **all**은 모든 아이템을 불러옵니다[! 느림 !]
GMCommands.Item.Usage.LoadSpells:			'/item loadspells' - 아이템 주문을 DB에서 읽어 전역 주문 목록을 업데이트합니다
GMCommands.Item.Blank.Name:					(빈 아이템)
GMCommands.Item.Blank.ItemCreated:			빈 아이템이 가방의 첫 빈 슬롯에 생성되었습니다.
GMCommands.Item.Blank.CreationError:		아이템 생성 중 오류가 발생했습니다.
GMCommands.Item.Scroll.NotFound:			아티팩트 {1}의 스크롤 페이지 {0}을(를) 찾을 수 없습니다.
GMCommands.Item.Scroll.Created:				스크롤 {0}이(가) 생성되었습니다.
GMCommands.Item.Create.NotFound:			ID가 {0}인 ItemTemplate을 찾을 수 없습니다!
GMCommands.Item.Create.Created:				아이템 생성됨: Level={0}, Name={1}, Count={2}
GMCommands.Item.Count.NoItemInSlot:			{0} 슬롯에 아이템이 없습니다!
GMCommands.Item.Count.NotStackable:			{0}은(는) 중첩할 수 없습니다.
GMCommands.Item.Info.ItemTemplateUnknown:	ID={0}인 ItemTemplate을 알 수 없습니다!
GMCommands.Item.Info.Informations:			아이템 {0} 정보
GMCommands.Item.mBonus.NonSetBonusNumber:	보너스 번호가 설정되지 않았습니다!
GMCommands.Item.mBonus.TypeShouldBeInRange:	보너스 타입은 0부터 {0} 사이여야 합니다.
GMCommands.Item.mBonus.NonSetBonusType:		보너스 타입이 설정되지 않았습니다!
GMCommands.Item.mBonus.NotSetBonusValue:	보너스 값이 설정되지 않았습니다!
GMCommands.Item.mBonus.UnknownBonusNumber:	알 수 없는 보너스 번호: {0}
GMCommands.Item.SaveTemplate.ItemSaved:		ItemTemplate {0}이(가) 성공적으로 저장되었습니다.
GMCommands.Item.SaveUnique.NotItemUnique:	이 아이템은 ItemUnique가 아닙니다. 새 ItemUnique를 만들려면 addunique를 사용하세요.
GMCommands.Item.Save.NeedNewID:				이 아이템에 사용할 새 id_nb를 입력해야 합니다.
GMCommands.Item.Save.NeedNewIDForUniqueTemplate:	이 ItemUnique를 ItemTemplate으로 저장하려면 새 id_nb를 입력해야 합니다. 이 ItemUnique를 저장하려면 saveunique를 사용하세요.
GMCommands.Item.Save.AddedTemplate:			새 ItemTemplate 추가됨: {0}
GMCommands.Item.Save.AddTemplateError:		템플릿 추가 중 오류: {0}
GMCommands.Item.Save.AddedUnique:			새 ItemUnique 추가됨: {0} ({1})
GMCommands.Item.Save.AddUniqueError:		고유 아이템 추가 중 오류: {0}
GMCommands.Item.Save.UpdatedInventoryItem:	인벤토리 아이템 업데이트됨: {0}
GMCommands.Item.Save.SourceTemplateUpdated:	++ 원본 ItemTemplate도 업데이트되었습니다!
GMCommands.Item.SalvageInfo.SpecifiedNotFound:	지정한 SalvageYield ID {0}을(를) 찾을 수 없습니다!
GMCommands.Item.SalvageInfo.CalculatedValuesNew:	계산된 값(USE_NEW_SALVAGE = True)
GMCommands.Item.SalvageInfo.CalculatedValuesLegacy:	계산된 값(USE_NEW_SALVAGE = False)
GMCommands.Item.SalvageInfo.UsingID:		사용 중인 SalvageYield ID: {0}
GMCommands.Item.SalvageInfo.MaterialNotFound:	찾을 수 없음! ({0})
GMCommands.Item.SalvageInfo.ID:				분해 산출 ID: {0}
GMCommands.Item.SalvageInfo.ObjectType:		오브젝트 유형: {0}
GMCommands.Item.SalvageInfo.SalvageLevel:	분해 레벨: {0}
GMCommands.Item.SalvageInfo.Material:		재료: {0}
GMCommands.Item.SalvageInfo.Count:			수량: {0}
GMCommands.Item.SalvageInfo.Realm:			렐름: {0}
GMCommands.Item.SalvageInfo.Realm.Any:		전체
GMCommands.Item.SalvageInfo.PackageID:		패키지 ID: {0}
GMCommands.Item.SalvageInfo.WindowTitle:	{0} 분해 정보
GMCommands.Item.Load.UpdatedOrAdded:			아이템 {0}이(가) ItemTemplate 캐시에 업데이트 또는 추가되었습니다.
GMCommands.Item.Load.NotFound:				아이템 {0}을(를) 찾을 수 없습니다.
GMCommands.Item.Load.CountUpdatedOrAdded:	아이템 {0}개가 ItemTemplate 캐시에 업데이트 또는 추가되었습니다.
GMCommands.Item.LoadPackage.NoItemsFound:	패키지 {0}의 아이템을 찾을 수 없습니다.
GMCommands.Item.UpdateAllowed.ItemTemplateOnly:	이 명령은 ItemTemplate 기반 아이템에만 사용할 수 있습니다.
GMCommands.Item.LoadSpells.UpdatedOrAdded:	주문 ID {0}이(가) 전역 주문 목록에 추가 또는 업데이트되었습니다
GMCommands.Item.FindID.MatchingIDsForX:		{0}에 일치하는 ID 수: {1}
GMCommands.Item.FindName.MatchingNamesForX:	{0}에 일치하는 이름 수: {1}

## /jump
GMCommands.Jump.Description:				플레이어나 자신을 지정한 위치로 이동시킵니다.
GMCommands.Jump.Information:				플레이어 이름에는 [me]를 사용할 수 있습니다:
GMCommands.Jump.Usage.ToPlayerName:			/jump to <PlayerName or MobName>
GMCommands.Jump.Usage.AbovePlayerName:		/jump above <PlayerName> - 해당 플레이어 위 10000 유닛 위치로 이동합니다. 던전 안의 플레이어에게는 사용할 수 없습니다.
GMCommands.Jump.Usage.ToNameRealmID:		/jump to <Name> <RealmID>
GMCommands.Jump.Usage.ToXYZRegionID:		/jump to <x> <y> <z> [<RegionID>]
GMCommands.Jump.Usage.ToJail:               /jump <name> to jail  - 플레이어를 DF 감옥으로 이동시킵니다.
GMCommands.Jump.Usage.PlayerNameToXYZ:		/jump <PlayerName> to <x> <y> <z>
GMCommands.Jump.Usage.PlayerNameToXYZRegID:	/jump <PlayerName> to <x> <y> <z> [<RegionID>]
GMCommands.Jump.Usage.PlayerNToPlayerN:		/jump <PlayerName> to <PlayerName>
GMCommands.Jump.Usage.ToGT:					/jump to GT
GMCommands.Jump.Usage.RelXYZ:				/jump rel <x> <y> <z>
GMCommands.Jump.Usage.Push:					/jump push - 현재 위치를 스택에 저장합니다
GMCommands.Jump.Usage.Pop:					/jump pop - 이전 위치를 꺼내 그곳으로 이동합니다
GMCommands.Jump.CannotBeFound:				{0}을(를) 찾을 수 없습니다.
GMCommands.Jump.JumpToX:					{0}(으)로 이동합니다.
GMCommands.Jump.CannotBeFoundInRealm:		렐름 {1}에서 {0}을(를) 찾을 수 없습니다.
GMCommands.Jump.CannotJumpToInsideHouse:	집 안에 있는 대상에게는 이동할 수 없습니다.
GMCommands.Jump.PlayerIsNotInGame:			{0}은(는) 게임 안에 없습니다.
GMCommands.Jump.CheckExpansion.CannotJump:	{0}은(는) 클라이언트 타입이 대상 지역({1})을 지원하지 않아 이동할 수 없습니다.
GMCommands.Jump.CheckExpansion.ClientNoSup:	{0}이(가) 당신을 대상 지역({1})으로 이동시키려 했지만, 당신의 클라이언트 타입이 해당 지역을 지원하지 않습니다.
