# Languages
System.LanguagesName.EN:				영어
Dialog.Guild.LeaveDeclined:                  길드 탈퇴를 취소했습니다.
Dialog.Group.StillInGroup:                   아직 그룹에 속해 있습니다.
Dialog.Group.CantJoinInCombat:               전투 중에는 그룹에 참가할 수 없습니다!
Dialog.Group.Full:                           그룹이 가득 찼습니다.
Dialog.KeepClaim.MustBeInGuild:              이 명령어를 사용하려면 먼저 길드에 속해 있어야 합니다!
Dialog.KeepClaim.MustBeNearKeep:             성을 점령하려면 성 근처에 있어야 합니다.
Group.Invite.NoValidTarget:                  유효한 플레이어를 대상으로 선택하지 않았습니다.
Group.Invite.NotLeader:                      그룹 리더가 아닙니다.
Group.Invite.TargetInGroup:                  해당 플레이어는 아직 그룹에 속해 있습니다.
Group.Invite.Sent:                           {0}을(를) 그룹에 초대했습니다.
Group.Invite.Popup:                          {0}이(가) 당신을\n{1} 그룹에 초대했습니다. 참가하시겠습니까?
Group.Invite.Received:                       {0}이(가) 당신을 {1} 그룹에 초대했습니다.
Group.MemberJoined:                          {0}이(가) 그룹에 참가했습니다.
Group.MemberLeft:                            {0}이(가) 그룹을 떠났습니다.
Group.YouLeave:                              그룹을 떠났습니다.
Group.NewLeader:                             {0}이(가) 새 그룹 리더입니다.
Group.SwitchedMembers:                       그룹원 {0}와(과) {1}의 위치를 바꿨습니다.
GuildEvents.EarnMeritPoints:                 길드를 위해 공헌도 {0}점을 획득했습니다!
GuildEvents.GuildAwardedMeritPoints:         길드가 공헌도 {0}점을 받았습니다!
GuildEvents.BonusRealmPoints:                길드 버프 효과로 렐름 포인트 {0}점을 추가로 얻었습니다!
GuildEvents.BonusBountyPoints:               길드 버프 효과로 바운티 포인트 {0}점을 추가로 얻었습니다!
GuildBanner.GroupAlreadyHasBanner:           그룹 내에 이미 활성화된 길드 배너가 있습니다!
GuildBanner.LeftGroupBannerDisappears:       그룹을 떠나 길드 배너가 사라집니다!
GuildBanner.PutAway:                         {0}이(가) 길드 배너를 거두었습니다!
GuildBanner.Dropped:                         {0}이(가) 길드 배너를 떨어뜨렸습니다!
SelfCraftWindow.CannotRepair:                셀프 제작 중에는 수리할 수 없습니다!
SelfCraftWindow.CombineAutoSet:              셀프 제작 중에는 결합 설정이 자동으로 켜집니다!
LootGeneratorTemplate.XPItem.TimeRemaining:  다음 XP 아이템까지 {0}시간 {1}분 {2}초 남았습니다.
LootGeneratorTemplate.XPItem.NextKill:       다음 처치 후 XP 아이템이 드롭됩니다!
Faction.RelationshipDecreased:               {0}와(과)의 관계가 악화되었습니다.
Faction.RelationshipIncreased:               {0}와(과)의 관계가 개선되었습니다.

# Siege
Siege.Control.AlreadyControlled:             {0}은(는) 이미 조종 중입니다.
Siege.Control.AlreadyHave:                   이미 조종 중인 공성무기가 있습니다.
Siege.Control.CantWhileMoving:               이동 중인 공성무기는 조종할 수 없습니다.
Siege.Control.Take:                          {0} 조종을 시작했습니다.
Siege.Control.Release:                       더 이상 {0}을(를) 조종하지 않습니다.
Siege.Control.TooFar:                        공성 장비에서 너무 멀어 더 이상 조종할 수 없습니다!
Siege.Control.EnemyRealm:                    이 공성 장비는 적 렐름 소유입니다!
Siege.Control.Hidden:                        은신 중에는 공성무기를 조종할 수 없습니다!
Siege.Control.CantNow:                       지금은 공성무기를 조종할 수 없습니다!
Siege.Control.WeaponTooFar:                  {0}이(가) 너무 멀어 조종할 수 없습니다!
Siege.Aim.NotReady:                          {0}은(는) 아직 조준할 준비가 되지 않았습니다!
Siege.Aim.Turning:                           {0}이(가) 대상을 향해 회전 중입니다. ({1}초)
Siege.Aim.NowAimed:                          {0} 조준이 완료되었습니다!
Siege.Arm.Prepare:                           {0} 발사를 준비합니다. (장전 완료까지 {1}초)
Siege.Arm.NowArmed:                          {0} 장전이 완료되었습니다!
Siege.Target.Required:                       대상이 필요합니다!
Siege.Target.SelectFirst:                    먼저 대상을 선택하세요.
Siege.Target.CannotAttack:                   그것은 공격할 수 없습니다!
Siege.Target.NotInView:                      대상이 보이지 않습니다!
Siege.Target.LocationTooClose:               {0}의 목표 위치가 너무 가깝습니다!
Siege.Target.TooFarForWeapon:                {0}의 대상이 너무 멀어 닿지 않습니다!
Siege.Fire.NotReady:                         {0}은(는) 아직 발사 준비가 되지 않았습니다!
Siege.Fire.Sitting:                          앉은 상태에서는 공성무기를 발사할 수 없습니다!
Siege.Fire.TargetTooClose:                   대상이 이 공성무기에 너무 가깝습니다!
Siege.Fire.TargetTooFar:                     대상이 이 공성무기에서 너무 멉니다!
Siege.Fire.Fire:                             {0}을(를) 발사합니다!
Siege.Move.GroundTargetTooFar:               지면 목표가 너무 멀어 이동할 수 없습니다!
Siege.Move.GroundTargetOutOfSight:           지면 목표가 보이지 않습니다!
Siege.Move.GroundTargetTooHigh:              지면 목표가 너무 높습니다!
Siege.Move.RamTooCloseToDoor:                램을 문에 그렇게 가까이 이동할 수 없습니다!
Siege.Repair.NeedWoodworking:                공성무기를 수리하려면 목공 기술이 필요합니다.
Siege.Repair.DecayedBeyondRepair:            공성무기가 너무 낡아 더 이상 수리할 수 없습니다!
Siege.Salvage.NeedSiegeCrafting:             분해하려면 공성 제작 기술이 필요합니다.
Siege.Salvage.EnemyRealm:                    다른 렐름의 공성무기는 분해할 수 없습니다!
Siege.Use.CantNow:                           지금은 이 공성무기를 사용할 수 없습니다!
Siege.Use.NeedsRepair:                       공성무기를 수리해야 합니다!
Siege.Ram.DoorsOnly:                         램은 문만 공격할 수 있습니다!
Siege.Ram.TooFarToAttack:                    {0}을(를) 공격하기에는 너무 멉니다
Siege.Ram.TooMany:                           이미 너무 많은 램이 {0}을(를) 공격 중입니다
Siege.Ram.AlreadyDestroyed:                  {0}은(는) 이미 파괴되었습니다!
Siege.Hit.Damage:                            {0}이(가) {1}에게 {2} 피해를 입혔습니다!
Siege.Hit.Area:                              {0}이(가) {1}을(를) 공격했습니다
Siege.Action.Unhandled:                      처리되지 않은 액션 ID: {0}

# Vault
Vault.NotActivelyViewing:                    현재 금고를 보고 있지 않습니다!
Vault.NoAddPermission:                       아이템을 넣을 권한이 없습니다!
Vault.NoRemovePermission:                    아이템을 꺼낼 권한이 없습니다!
Vault.CantStoreUntradable:                   거래 불가 아이템은 집 금고에 넣을 수 없습니다!
Vault.CantSwapUntradable:                    거래 불가 아이템과는 교체할 수 없습니다!

# Consignment and market
Consignment.HoldsBountyPoints:               위탁 상인이 현재 보유 중인 BP: {0}
Consignment.TooFarToGive:                    {0}에게 무언가를 건네기에는 너무 멉니다.
Consignment.PriceSet:                        가격이 설정되었습니다!
Consignment.ItemNotTradableStoreOnly:        이 아이템은 거래할 수 없습니다. 여기에 보관할 수는 있지만 판매할 수는 없습니다.
Consignment.ItemToPurchaseNotFound:          구입하려는 아이템을 찾을 수 없습니다!
Consignment.BuyWithMarketFeeConfirm:         시장 탐색기에서 바로 구입하면 {0}%의 추가 수수료가 붙습니다. 이 아이템을 구입하시겠습니까?
Consignment.BuyConfirm:                      이 아이템을 구입하시겠습니까?
Consignment.NeedMerchantOrExplorer:          구입하려면 시장 탐색기나 위탁 상인과 대화 중이어야 합니다.
Consignment.WithdrawBountyPoints:            위탁 상인에게서 BP {0}을(를) 회수했습니다.
Consignment.Move.EmptySlotOnly:              아이템은 빈 슬롯으로만 옮길 수 있습니다!
Consignment.Buy.CantBuyFromSelf:             자기 자신의 아이템은 구입할 수 없습니다!
Consignment.ItemCannotBePurchased:           이 아이템은 구입할 수 없습니다!
MarketExplorer.MarketUnavailable:            지금은 시장을 이용할 수 없습니다.
MarketExplorer.ItemsReturned:                검색된 아이템: {0}개
MarketExplorer.MovingToPage:                 {0}페이지로 이동합니다.
MarketExplorer.ConsignmentMerchantNotFound:  이 아이템의 위탁 상인을 찾을 수 없습니다!

# Recovered house bankers
Banker.Vault.MasterGreeting:                 안녕하세요, {0} 님. 저는 마스터 금고지기입니다. 압류된 집에 있던 물건을 되찾을 수 있도록 도와드립니다. 어떤 금고에 접근하시겠습니까?
Banker.Vault.PersonalLink:                   개인 금고 {0}
Banker.Vault.GuildLink:                      길드 금고 {0}
Banker.Vault.CannotAccess:                   지금은 이 금고에 접근할 수 없습니다. 권한이 없거나, 현재 사용 중인 집이 있어 실제 금고를 이용해야 할 수 있습니다.
Banker.Vault.LegacyPersonalGreeting:         안녕하세요, {0} 님. 압류된 집에 {1}번 금고가 있었다면 그 안의 아이템을 되찾을 수 있습니다. 새 물건은 맡길 수 없지만, 보관되어 있던 물건은 자유롭게 가져가세요.
Banker.Vault.LegacyGuildGreeting:            안녕하세요, {0} 님. 길드 하우스가 압류되었고 {1}번 길드 금고 사용 권한이 있었다면 그 안의 아이템을 되찾을 수 있습니다. 새 물건은 맡길 수 없지만, 보관되어 있던 물건은 자유롭게 가져가세요.
Banker.Vault.GenericGreeting:                안녕하세요, {0} 님. 압류된 집의 금고 아이템을 되찾을 수 있도록 도와드립니다.
Banker.Consignment.MasterGreeting:           안녕하세요, {0} 님. 저는 마스터 위탁상인 관리인입니다. 압류된 집에 있던 물건을 되찾을 수 있도록 도와드립니다. 어떤 위탁상인에 접근하시겠습니까?
Banker.Consignment.PersonalLink:             개인 위탁상인
Banker.Consignment.GuildLink:                길드 위탁상인
Banker.Consignment.CannotAccess:             지금은 이 위탁상인에 접근할 수 없습니다. 권한이 없거나, 현재 사용 중인 집이 있어 실제 위탁상인을 이용해야 할 수 있습니다.
Banker.Consignment.LegacyGreeting:           집이 압류되었을 때 위탁상인에 남아 있었을 아이템을 회수할 수 있습니다.

# Tasks and missions
TaskMaster.Disabled:                         죄송합니다. 현재 과업 던전은 비활성화되어 있습니다!
TaskMaster.Intro:                            마을을 지키는 경비병들이 주변의 위협을 처리해 줄 젊은 모험가에게 현상금을 지급한다는 것은 이미 알고 계실 겁니다. 우리는 그 방식을 확장해 과업 관리 제도를 시작했습니다. 저 같은 지원자들은 던전에 도사린 위험에 맞설 분들에게 보상을 지급할 권한을 받았습니다. 도와주실 생각이라면 지금 바로 [임무]를 드릴 수 있고, 완료하는 즉시 보상을 받게 됩니다.
TaskMaster.AlreadyHaveTask:                  이미 완료해야 할 과업을 가지고 있습니다.
TaskMaster.Assignment:                       전투 방식과 실력에 맞춰 임무를 드릴 수 있습니다. 근접전에 자신 있다면 [미로형 던전]의 임무가 있고, 원거리 전투를 선호한다면 [긴 복도]의 과업이 기다리고 있습니다. 원하는 방식을 선택하면 완료할 과업을 배정해 드리겠습니다. 필요하다면 [과업 제도]에 대해서도 설명해 드릴 수 있습니다.
TaskMaster.Program:                          경비병에게 /whisper task로 받을 수 있는 일반 과업과 달리, 과업 관리 제도는 다양한 경험을 가진 모험가들이 참여할 수 있습니다. 여러 마을의 과업 관리자가 가까운 던전의 괴물들을 처리하며 렐름을 도울 기회를 제공할 것입니다. 지하에서 새롭게 나타난 위협과 적 렐름과의 전쟁이 계속되는 지금, 우리는 가능한 모든 도움이 필요합니다.
TaskMaster.MissionAccepted:                  좋습니다, {0}. 이런 시기에 렐름을 돕겠다는 모험가를 보니 든든하군요.
TaskMaster.MissionClear:                     {0}의 생물들을 정리해 주십시오. 행운을 빕니다!
TaskMaster.MissionBoss:                      {0}이(가) {1}을(를) 장악했습니다. 반드시 처치해야 합니다. 행운을 빕니다!
TaskMaster.MissionSpecific:                  {2}에서 {1} {0}마리를 제거해 주십시오! 입구는 근처에 있습니다.
MissionMaster.Intro.General:                 안녕하십니까, {0}. 우리는 계속되는 싸움에 힘을 보탤 영웅들을 널리 찾고 있습니다. 당신 같은 훌륭한 {1}이(가) [렐름]을 지키기 위해 목숨을 걸 준비가 되어 있다니 마음이 든든합니다.
MissionMaster.Intro.Component:               반갑습니다, {0}! 우리 병력을 이끄는 지휘관으로서, 적을 무찌르기 위해 가장 뛰어난 전사들에게 도움을 청하고 있습니다. [렐름]을 지키는 임무를 수행하시겠습니까?
MissionMaster.Realm.General:                 우리 모두 각자의 몫을 해야 합니다. 어떤 방식으로 돕고 싶습니까? [개인 임무], [그룹 임무], [길드 임무]를 맡길 수 있습니다.
MissionMaster.Realm.Component:               좋습니다! 우리 모두 각자의 몫을 해야 합니다. 어떤 방식으로 돕고 싶습니까? [개인 임무]와 [그룹 임무]를 맡길 수 있습니다.
MissionMaster.PersonalMissions:              선택할 수 있는 개인 임무가 몇 가지 있습니다. [렐름 경비병]에 걸린 현상금을 노리겠습니까, 아니면 [렐름의 적]을 처치하고 현상금을 받겠습니까? 정면 공격이 취향이 아니라면 적 렐름을 [정찰]하거나 임박한 [암살] 위협을 제거하는 임무도 있습니다.
MissionMaster.GroupMissions:                 당신의 그룹은 [타워 점령], [킵 점령], 또는 [대상단] 습격을 돕겠습니까? 마음에 들지 않는다면 [적 경비병]이나 [렐름의 적들]에 걸린 현상금 임무도 있습니다.
MissionMaster.GuildMissions:                 훌륭합니다. 조직된 길드의 도움은 언제나 환영입니다. [알비온] 렐름을 압박하시겠습니까, 아니면 [하이버니아] 렐름을 압박하시겠습니까?
MissionMaster.NotInGroup:                    그룹에 속해 있지 않습니다!
MissionMaster.NotGroupLeader:                그룹장이 아닙니다!
MissionMaster.NotImplemented:                이 유형의 임무는 아직 구현되지 않았습니다.
MissionMaster.NoGuild:                       길드에 속해 있지 않습니다!
MissionMaster.GuildRankTooLow:               길드 내 권한 등급이 충분하지 않습니다!
Mission.Name.Personal:                       개인 임무
Mission.Name.Group:                          그룹 임무
Mission.Name.Realm:                          렐름 임무
Mission.Name.Task:                           과업
Mission.Name.Unknown:                        알 수 없는 임무
Mission.Name.Undefined:                      정의되지 않은 임무 이름
Mission.Description.Undefined:               정의되지 않은 임무 설명입니다.
Mission.Description.KeepNull:                설명을 보낼 수 없습니다. 킵 정보가 없습니다.
Mission.Description.ScoutKeep:               {0} 주변 지역을 정찰하세요.
Mission.Description.RaizeKeep:               {0}을(를) 파괴하세요.
Mission.Description.CaptureKeep:             {0}을(를) 점령하세요.
Mission.RewardMoney:                         임무 완료 보상으로 {0}을(를) 받았습니다.
Mission.Finish:                              {0}을(를) 완료했습니다!
Mission.Expired:                             {0}이(가) 만료되었습니다!
TaskDungeonMission.Description.Boss:         근처 동굴에서 {0}을(를) 처치하라는 임무를 받았습니다.
TaskDungeonMission.Description.Specific:     근처 동굴에서 {1} {0}마리를 처치하라는 임무를 받았습니다.
TaskDungeonMission.Description.Clear:        근처 동굴을 정리하라는 임무를 받았습니다.
TaskDungeonMission.Description.ClearOneLeft: 근처 동굴을 정리하라는 임무를 받았습니다. 생물 {0}마리가 남았습니다!
TaskDungeonMission.Description.ClearManyLeft:근처 동굴을 정리하라는 임무를 받았습니다. 생물 {0}마리가 남았습니다!
TaskDungeonMission.Description.UnknownType:  알 수 없는 임무 유형입니다: {0}
Task.RewardMoney:                            과업 완료 보상으로 {0}을(를) 받았습니다.
Task.Finish:                                 {0}을(를) 완료했습니다!
Task.ItemRemoved:                            과업 관련 아이템이 인벤토리에서 제거되었습니다.
Task.Expired:                                {0}이(가) 만료되었습니다!
Task.Kill.Name:                              처치 과업
Task.Kill.Description.FindAndKill:           {0}을(를) 찾아 처치한 뒤 보상을 받으러 돌아오세요.
Task.Kill.Description.Return:                보상을 받으려면 {0}에게 돌아가세요!
Task.Kill.ItemFormat:                        {0}의 {1}
Task.Kill.Item.Skin:                         가죽
Task.Kill.Item.Meat:                         고기
Task.Kill.Item.Bones:                        뼈
Task.Kill.Item.Tooth:                        이빨
Task.Kill.Item.Claw:                         발톱
Task.Kill.Item.Legs:                         다리
Task.Kill.Item.Collar:                       목걸이
Task.Kill.Item.Bone:                         뼈
Task.Kill.Item.Ear:                          귀
Task.Kill.Item.Head:                         머리
Task.Kill.Item.Hair:                         털
Task.Kill.Item.Carapace:                     갑각
Task.Kill.Item.Skull:                        두개골
Task.Kill.Item.PileOfDirt:                   흙더미
Task.Kill.Item.Dust:                         먼지
Task.Kill.Item.Slice:                        조각
Task.Kill.Item.Wings:                        날개
Task.Kill.Item.Egg:                          알
Task.Kill.Item.Heart:                        심장
Task.Kill.Item.Mandible:                     턱
Task.Money.Name:                             배달 과업
Task.Money.Description:                      {2}에 있는 {1}에게 {0}을(를) 가져가세요.
Task.Craft.Name:                             제작 과업
Task.Craft.Description:                      {2}에 있는 {1}을(를) 위해 {0}을(를) 제작하세요.
Task.Availability.MaxLevel:                  과업은 {0}레벨 이하의 플레이어만 받을 수 있습니다!
Task.Availability.AlreadyHaveTask:           이미 진행 중인 과업이 있습니다. 자신을 선택하고 /task를 입력하면 자세한 정보를 볼 수 있습니다.
Task.Availability.TooManyTasksAtLevel:       현재 레벨에서는 과업을 {0}개보다 더 완료할 수 없습니다!
Task.Availability.NoTasksNow:                지금은 맡길 과업이 없습니다. 나중에 다시 오시면 도와주실 일이 생길지도 모릅니다.
Task.Availability.NoTaskComeLater:           지금은 맡길 과업이 없습니다. 나중에 다시 와 주세요.
Task.Kill.ReturnForReward:                   보상을 받으려면 이제 {0}에게 돌아가야 합니다!
Task.Kill.RewardPromised:                    {0}: *잘했어요, {1}. 약속한 보상입니다.*
Task.Craft.NoCraftIdea:                      지금은 만들 것을 떠올릴 수 없습니다. 잠시 후 다시 물어봐 주세요.
Task.Money.BringItemToNpc:                   {2}에 있는 {1}에게 {0}을(를) 가져가세요.

# Teleporters
GameTeleporter.NoPortalKeepFound:            포털 킵을 찾을 수 없습니다.
GameTeleporter.NoHouseBindPoint:             아직 하우스 바인드 지점을 설정하지 않았습니다.
GameTeleporter.HouseBindHouseTornDown:       하우스 바인드 위치의 집이 철거되어 하스 지점으로 이동시킬 수 없습니다.
GameTeleporter.HouseBindstoneRemoved:        현재 하우스 바인드 위치의 바인드스톤이 제거되어 그곳으로 이동시킬 수 없습니다.
GameTeleporter.HouseBindNoPermission:        이전에 선택한 하우스 바인드스톤에 더 이상 바인드할 권한이 없어 그곳으로 이동시킬 수 없습니다.
GameTeleporter.DestinationUnavailable:       이 목적지는 현재 이용할 수 없습니다.
GameTeleporter.UniPortalSpellNotFound:       유니 포털 주문을 찾을 수 없습니다.
PlayerStyleComponent.BackupStyleCleared:     {0}은(는) 현재 특성 레벨에서 더 이상 유효한 백업 스타일이 아니므로 해제되었습니다.
TeleportArea.DestinationUnavailable:         이 목적지는 현재 이용할 수 없습니다: {0}.
WorldInventoryItem.MayPickUp:                이제 {0}을(를) 주울 수 있습니다!
InlandTeleporter.Intro.Albion:               안녕하세요, {0} 님. 저는 에너지를 모아 먼 땅으로 보내드릴 수 있습니다. 이동 가능한 곳은 다음과 같습니다.\n\n카멜롯 힐스의 [소바쥬 성] 또는 \n블랙 마운틴 북부의 [스노도니아 요새],\n[아발론 습지] 선착장,\n[슈라우디드 아일스]의 [고스웨이트 항구],\n우리의 영광스러운 수도 [카멜롯],\n[주택] 지역의 [입구],\n\n또는 알비온 곳곳의 여러 [마을]입니다.
InlandTeleporter.Intro.Midgard:              안녕하세요, {0} 님. 저는 에너지를 모아 먼 땅으로 보내드릴 수 있습니다. 이동 가능한 곳은 다음과 같습니다.\n\n물란의 [스바수드 파스테] 또는 \n웨스트 스벨란드의 [빈드사울 파스테],\n나일리텐 근처 [고타르] 해변,\n[슈라우디드 아일스]의 [에기르함],\n우리의 영광스러운 도시 [요르드하임],\n[주택] 지역의 [입구],\n\n또는 미드가드 곳곳의 여러 [마을]입니다.
InlandTeleporter.Intro.Hibernia:             안녕하세요, {0} 님. 저는 에너지를 모아 먼 땅으로 보내드릴 수 있습니다. 이동 가능한 곳은 다음과 같습니다.\n\n코나흐트의 [드루임 리겐] 또는 \n브리 레이스의 [드루임 케인],\n[섀넌 하구] 감시탑,\n[슈라우디드 아일스]의 [돔난] 숲,\n우리의 영광스러운 수도 [티르 나 노그],\n[주택] 지역의 [입구],\n\n또는 하이버니아 곳곳의 여러 [마을]입니다.
InlandTeleporter.NoRealm:                    렐름이 설정되어 있지 않아 안내할 목적지를 알 수 없습니다.
InlandTeleporter.EpicDungeonPrompt:          [에픽 던전]의 도전에 나서 보시겠습니까?
