# Housing

## Details
House.DBHousePermissions.AccessLevel:			접근 레벨 {0}
Scripts.Player.Housing.InteriorBannersRemoved:		실내 길드 배너가 제거되었습니다.
Scripts.Player.Housing.InteriorShieldsAdded:		실내 길드 방패가 변경되었습니다.
Scripts.Player.Housing.InteriorShieldsRemoved:		실내 길드 방패가 제거되었습니다.
Scripts.Player.Housing.NotFloorObject:			이 아이템은 바닥에 배치할 수 없습니다!
Scripts.Player.Housing.NotHookPoint:			이 아이템은 배치 지점에 놓을 수 없습니다!
Scripts.Player.Housing.NotWallObject:			이 아이템은 벽에 배치할 수 없습니다!
Scripts.Player.Housing.OutdoorBannersAdded:		실외 길드 배너가 변경되었습니다.
Scripts.Player.Housing.OutdoorBannersRemoved:		실외 길드 배너가 제거되었습니다.
Scripts.Player.Housing.OutdoorShieldsAdded:		실외 길드 방패가 변경되었습니다.
Scripts.Player.Housing.OutdoorShieldsRemoved:		실외 길드 방패가 제거되었습니다.
Scripts.Player.Housing.PaidChanges:			변경 비용으로 {0}을(를) 지불했습니다.
Scripts.Player.Housing.PaidNotEnough:			돈이 부족합니다!
Scripts.Player.Housing.PorchAlready:			이 집에는 이미 현관이 있습니다!
Scripts.Player.Housing.PorchNone:			이 집에는 현관이 없습니다!
Scripts.Player.Housing.PorchNotItem:			현관 아이템이 아닙니다!

## Player Position
Scripts.Player.Housing.LotTargeted:			{0}번 부지를 대상으로 선택했습니다.
Scripts.Player.Housing.LotCanBeBought:			{0}에 구입할 수 있습니다.
Scripts.Player.Housing.LotOwnedBy:			{0}이(가) 소유 중입니다.
House.Enter.EnteredHouse:				{0}번 집에 들어왔습니다.
House.Enter.EnteringHouse:				{0}번 집에 들어가는 중입니다.
House.Exit.LeftHouse:					{0}번 집에서 나왔습니다.
HouseEnterLeave.TooFarAway:					{0}번 집에 들어가기에는 너무 멀리 있습니다.
HouseEnterLeave.CantEnter:					{0}번 집에 들어갈 수 없습니다.
Scripts.Player.Housing.LeftHouse:			{0}번 집에서 나왔습니다.
House.Rent.PersonalReminderTitle:			개인 하우스 임대료 알림
House.Rent.PersonalReminder:				{0}번 개인 하우스 임대료 납부까지 {1}일 남았습니다!
House.Rent.GuildReminderTitle:				길드 하우스 임대료 알림
House.Rent.GuildReminder:				{0}번 길드 하우스 임대료 납부까지 {1}일 남았습니다!
HouseVault.Examine:					[오른쪽 클릭으로 {0}번 하우스 금고 내용 보기]
HouseVault.NoViewPermission:				이 금고를 볼 권한이 없습니다!

## Purchasing
Scripts.Player.Housing.AlreadyOwnHouse:			이미 집을 소유하고 있습니다!
Scripts.Player.Housing.LotAlready:			이미 다른 부지 또는 집을 소유하고 있습니다 (번호 {0})
Scripts.Player.Housing.LotBought:			이 부지를 {0}에 구입했습니다!
Scripts.Player.Housing.LotCost:
Scripts.Player.Housing.LotNotItem:			유효한 집 증서가 아닙니다.
Scripts.Player.Housing.LotNotYours:			이 부지는 당신 소유가 아닙니다!
Scripts.Player.Housing.LotOffer:			이 부지를 구입하시겠습니까? 가격은 {0}입니다.
Scripts.Player.Housing.LotOfferNoDelete:		이 부지를 구입하시겠습니까?\n가격은 {0}입니다.\n구입 후에는 이 캐릭터를 삭제할 수 없습니다.
Scripts.Player.Housing.TransferToGuild:			이 집을 {0}에게 양도하시겠습니까?
