# Housing

## Details
House.DBHousePermissions.AccessLevel:			Access level {0}
Scripts.Player.Housing.HouseUpgradeConfirm:		Are you sure you want to upgrade your house?
Scripts.Player.Housing.HouseUpgradeWarning:		Warning:\nThis will remove *all* items from your current house!
Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change those materials.
Scripts.Player.Housing.HouseUseMaterial:		You need to hold shift+right-click on your house to change your carpets.
Scripts.Player.Housing.HouseUseMaterials:		You need to hold shift+right-click on your house to change those materials.
Scripts.Player.Housing.HouseUseCarpets:			You need to hold shift+right-click on your house to change your carpets.
Scripts.Player.Housing.InvalidMenuId:			Invalid menu id {0} (hookpoint?).
Scripts.Player.Housing.ItemClearedFromSurface:		The {0} is cleared from the {1}.
Scripts.Player.Housing.ItemReturnedToBackpack:		You get {0} and put it in your backpack.
Scripts.Player.Housing.MayNotChangeOtherHouses:		You may not change other people's houses.
Scripts.Player.Housing.MustBeInGuild:			You must be a member of a guild to do that.
Scripts.Player.Housing.NeedHouseDeed:			This does not work without a house deed.
Scripts.Player.Housing.NeedHouseRemovalDeed:		You need a house removal deed for this.
Scripts.Player.Housing.NeedInventorySpace:		You need space in your inventory!
Scripts.Player.Housing.NeedsPorchFirst:			Your house needs a porch first.
Scripts.Player.Housing.NoGardenTileAtSlot:		There is no garden tile at slot {0}!
Scripts.Player.Housing.NoHouseSelected:			No house selected!
Scripts.Player.Housing.NoMoreVaults:			You can't add any more vaults to this house!
Scripts.Player.Housing.NotGuildLeader:			You are not the leader of a guild.
Scripts.Player.Housing.PayRentDialog:			Pay rent with {0} {1}?
Scripts.Player.Housing.RemoveConsignmentFirst:		You must first remove the consignment merchant.
Scripts.Player.Housing.SurfaceFloor:			floor
Scripts.Player.Housing.SurfaceWall:			wall surface
Scripts.Player.Housing.DecorationClearedFromSurface:	The decoration item is cleared from the {0}.
Scripts.Player.Housing.IndoorFloorPlaced:		You have placed {0} on the floor of your house.
Scripts.Player.Housing.IndoorItemPlaced:		Indoor item placed. {0} slots remaining.
Scripts.Player.Housing.IndoorMaxItems:			You have already placed {0} in your house. You cannot place more.
Scripts.Player.Housing.IndoorWallPlaced:		You have placed {0} onto the wall of your house.
Scripts.Player.Housing.InteriorBannersAdded:		Your interior guild banners have been changed.
Scripts.Player.Housing.InteriorBannersRemoved:		Your interior guild banners have been removed.
Scripts.Player.Housing.InteriorShieldsAdded:		Your interior guild shields have been changed.
Scripts.Player.Housing.InteriorShieldsRemoved:		Your interior guild shields have been removed.
Scripts.Player.Housing.NotFloorObject:			This item cannot be placed on the floor!
Scripts.Player.Housing.NotHookPoint:			This item cannot be placed on a hookpoint!
Scripts.Player.Housing.NotWallObject:			This item cannot be placed on a wall!
Scripts.Player.Housing.OutdoorBannersAdded:		Your outdoor guild banners have been changed.
Scripts.Player.Housing.OutdoorBannersRemoved:		Your outdoor guild banners have been removed.
Scripts.Player.Housing.OutdoorShieldsAdded:		Your outdoor guild shields have been changed.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Your outdoor guild shields have been removed.
Scripts.Player.Housing.PaidChanges:			You have paid {0} for your changes.
Scripts.Player.Housing.PaidNotEnough:			You do not have enough money to do that!
Scripts.Player.Housing.PorchAlready:			This house already has a porch!
Scripts.Player.Housing.PorchNone:			This house does not have a porch!
Scripts.Player.Housing.PorchNotItem:			This is not a porch item!

## Player Position
Scripts.Player.Housing.LotTargeted:			You target lot number {0}.
Scripts.Player.Housing.LotCanBeBought:			It can be bought for {0}.
Scripts.Player.Housing.LotOwnedBy:			It is owned by {0}.
House.Enter.EnteredHouse:				You have entered house number {0}.
House.Enter.EnteringHouse:				Entering house {0}.
House.Exit.LeftHouse:					You have left house number {0}.
HouseEnterLeave.TooFarAway:					You are too far to enter the house {0}.
HouseEnterLeave.CantEnter:					You cannot enter the house {0}.
Scripts.Player.Housing.LeftHouse:			You have exited house number {0}.
House.Rent.PersonalReminderTitle:			Personal House Rent Reminder
House.Rent.PersonalReminder:				Rent for personal house {0} is due in {1} days!
House.Rent.GuildReminderTitle:				Guild House Rent Reminder
House.Rent.GuildReminder:				Rent for guild house {0} is due in {1} days!
HouseVault.Examine:					[Right click to display the contents of house vault {0}]
HouseVault.NoViewPermission:				You don't have permission to view this vault!

## Purchasing
Scripts.Player.Housing.AlreadyOwnHouse:			You already own a house!
Scripts.Player.Housing.LotAlready:			You already own another lot or house (Number {0})
Scripts.Player.Housing.LotBought:			You just bought this lot for {0}!
Scripts.Player.Housing.LotCost:
Scripts.Player.Housing.LotNotItem:			That is not a valid house deed.
Scripts.Player.Housing.LotNotYours:			You do not own this lot!
Scripts.Player.Housing.LotOffer:			Do you wish to buy this lot? It costs {0}.
Scripts.Player.Housing.LotOfferNoDelete:		Do you want to buy this lot?\nIt costs {0}.\nYou won't be able to delete this character.
Scripts.Player.Housing.TransferToGuild:			Do you want to transfer this house to {0}?

