# Languages
System.LanguagesName.EN:				English
ServerRules.Normal.Description:             standard Normal server rules
ServerRules.PvP.Description:                standard PvP server rules
ServerRules.PvE.Description:                standard PvE server rules
ServerRules.PvP.SafetyFlagOn:               Your PvP safety flag is ON.
ServerRules.PvP.TargetSafetyFlagOn:         {0} has a safety flag on and is in a safe area, you can't attack that player here.
ServerRules.Instance.AlreadyRunning:         You have another instance ({0}) running with people in it!
ServerRules.Instance.NeedMission:            You need to have a proper mission before entering this area!
ServerRules.Reward.ReceiveMoney:             You receive {0}
ServerRules.Reward.NotWorthRealmPoints:      {0} has been killed recently and is worth no realm points!
ServerRules.Reward.NotWorthExperience:       {0} has been killed recently and is worth no experience!

# Inventory and item handling
Inventory.Change.Dead:                       You can't change your inventory when dead!
Inventory.Horse.ActiveToSaddlebag:           You can't move your active horse into a saddlebag!
Inventory.Equip.OtherRealm:                  You cannot equip an item from another realm!
Inventory.Equip.ClassCannotUse:              Your class cannot use this item!
Inventory.Equip.NoWeaponSkill:               You have no skill in using this weapon type!
Inventory.Equip.NoArmorSkill:                You have no skill in wearing this armor type!
Inventory.Item.CantGoThere:                  {0} can't go there!
Inventory.Item.NeedChampionLevel:            You can't use {0}, you should increase your champion level.
Inventory.Item.CantPutActiveBarding:         You can't put {0} in your active barding slot!
Inventory.Item.CantPutActiveHorseArmor:      You can't put {0} in your active horse armor slot!
Inventory.Item.CantPutActiveMount:           You can't put {0} in your active mount slot!
Inventory.Item.CantPutQuiver:                You can't put your {0} in your quiver!
Inventory.Destroy.CantDestroy:               You can't destroy {0}!
Inventory.Destroy.Relic:                     You cannot destroy a relic!
Inventory.Destroy.Equipped:                  You cannot destroy an equipped item!
Inventory.Destroy.Success:                   You destroy the {0}.
Inventory.Mythirian.NeedChampionLevel:       You do not meet the Champion Level requirement to equip this item.
Inventory.Mythirian.WaterBreathing:          You find yourself able to breathe water like air!
Inventory.Mythirian.WaterBreathingExpired:   With a gulp and a gasp, you realize that you can no longer breathe underwater!

# Training
Train.Champion.SpecNotFound:                 Could not find Champion Spec!
Train.Champion.AlreadyHaveAbility:           You already have that ability!
Train.Champion.RequirementsNotMet:           You do not meet the requirements for that ability!
Train.Champion.NotEnoughPoints:              You do not have enough champion specialty points for that ability!
Train.RealmAbility.Cost:                     {0} costs {1} realm ability points!
Train.RealmAbility.NotEnoughPoints:          You don't have that many realm ability points left to get this.
Train.RealmAbility.NotExperiencedEnough:     You are not experienced enough to get {0} now. Come back later.

# Merchant and trade
Merchant.Sell.SelectNpc:                     You must select an NPC to sell to.
Merchant.Withdraw.NoPermission:              You don't have permission to withdraw money from this merchant!
Trade.InvalidTarget:                         Invalid trade target.
Trade.InactivePlayer:                        Can't trade with inactive players.
Trade.Self:                                  You can't trade with yourself, silly!
Trade.Repair.RecipientOnly:                  Only a recipient of a trade can initiate a repair.
Trade.Repair.OneItemOnly:                    You can only repair one item at a time!
Trade.Repair.OwnerSideMustBeEmpty:           Your side of the trade window must be empty to repair!
Trade.Combine.RecipientOnly:                 Only a recipient of a trade can initiate a combine.
Trade.Combine.OneItemOnly:                   You can only combine your items into one item!
Trade.Accepted:                              {0} has accepted the trade.
Trade.NotEnoughMoney.Self:                   You don't have enough money.
Trade.NotEnoughMoney.Other:                  {0} doesn't have enough money.
Trade.NotEnoughSpace.Self:                   You don't have enough space in your inventory.
Trade.NotEnoughSpace.Other:                  {0} doesn't have enough space in their inventory.
Trade.Completed:                             Trade completed. {0} items for {1} items.
Trade.Money.ReceiveFormat:                   You get {0}.

# Dialog responses
Dialog.Guild.InviteDeclined:                 {0} declined your invite.
Dialog.Guild.StillInGuild:                   You are still in a guild, you'll have to leave it first.
Dialog.Guild.InviterNotInGuild:              Player doing the invite is not in a guild!
Dialog.Guild.NotInGuild:                     You are not in a guild.
Dialog.Guild.LeaveDeclined:                  You decline to quit your guild.
Dialog.Group.StillInGroup:                   You are still in a group.
Dialog.Group.CantJoinInCombat:               You can't join a group while in combat!
Dialog.Group.Full:                           The group is full.
Dialog.KeepClaim.MustBeInGuild:              You have to be a member of a guild, before you can use any of the commands!
Dialog.KeepClaim.MustBeNearKeep:             You have to be near the keep to claim it.
Group.Invite.NoValidTarget:                  You have not selected a valid player as your target.
Group.Invite.NotLeader:                      You are not the leader of your group.
Group.Invite.TargetInGroup:                  The player is still in a group.
Group.Invite.Sent:                           You have invited {0} to join your group.
Group.Invite.Popup:                          {0} has invited you to join\n{1} group. Do you wish to join?
Group.Invite.Received:                       {0} has invited you to join {1} group.
Group.MemberJoined:                          {0} has joined the group.
Group.MemberLeft:                            {0} has left the group.
Group.YouLeave:                              You leave your group.
Group.NewLeader:                             {0} is the new group leader.
Group.SwitchedMembers:                       Switched group member {0} with {1}.
GuildEvents.EarnMeritPoints:                 You have earned {0} merit points for your guild!
GuildEvents.GuildAwardedMeritPoints:         Your guild is awarded {0} merit points!
GuildEvents.BonusRealmPoints:                You get an additional {0} realm points due to your guild's buff!
GuildEvents.BonusBountyPoints:               You get an additional {0} bounty points due to your guild's buff!
GuildBanner.GroupAlreadyHasBanner:           Someone in your group already has a guild banner active!
GuildBanner.LeftGroupBannerDisappears:       You have left the group and your guild banner disappears!
GuildBanner.PutAway:                         {0} has put away the guild banner!
GuildBanner.Dropped:                         {0} has dropped the guild banner!
SelfCraftWindow.CannotRepair:                You cannot repair while self-crafting!
SelfCraftWindow.CombineAutoSet:              Combine flag is automatically set while self-crafting!
LootGeneratorTemplate.XPItem.TimeRemaining:  {0}h {1}m {2}s until next XP item.
LootGeneratorTemplate.XPItem.NextKill:       XP item will drop after your next kill!
Faction.RelationshipDecreased:               Your relationship with {0} has decreased.
Faction.RelationshipIncreased:               Your relationship with {0} has increased.

# Siege
Siege.Control.AlreadyControlled:             {0} is already under control.
Siege.Control.AlreadyHave:                   You already have a siege weapon under your control.
Siege.Control.CantWhileMoving:               You can't take control of a siege weapon while it is moving.
Siege.Control.Take:                          You take control of {0}.
Siege.Control.Release:                       You are no longer controlling {0}.
Siege.Control.TooFar:                        You are too far from your siege equipment to control it any longer!
Siege.Control.EnemyRealm:                    This siege equipment is owned by an enemy realm!
Siege.Control.Hidden:                        You can't control a siege weapon while hidden!
Siege.Control.CantNow:                       You can't control a siege weapon now!
Siege.Control.WeaponTooFar:                  {0} is too far away for you to control!
Siege.Aim.NotReady:                          {0} isn't ready to be aimed yet!
Siege.Aim.Turning:                           {0} is turning to your target. ({1}s)
Siege.Aim.NowAimed:                          Your {0} is now aimed!
Siege.Arm.Prepare:                           You prepare {0} for firing. ({1}s until armed)
Siege.Arm.NowArmed:                          Your {0} is now armed!
Siege.Target.Required:                       You must have a target!
Siege.Target.SelectFirst:                    Select a target first.
Siege.Target.CannotAttack:                   You cannot attack that!
Siege.Target.NotInView:                      Target is not in view!
Siege.Target.LocationTooClose:               The {0}'s target location is too close!
Siege.Target.TooFarForWeapon:                The {0}'s target is too far away to reach!
Siege.Fire.NotReady:                         The {0} is not ready to fire yet!
Siege.Fire.Sitting:                          You can't fire a siege weapon while sitting!
Siege.Fire.TargetTooClose:                   Your target is too close to this siege weapon!
Siege.Fire.TargetTooFar:                     Your target is too far away from this siege weapon!
Siege.Fire.Fire:                             You fire {0}!
Siege.Move.GroundTargetTooFar:               Ground target is too far away to move to!
Siege.Move.GroundTargetOutOfSight:           Ground target is out of sight!
Siege.Move.GroundTargetTooHigh:              Ground target too high!
Siege.Move.RamTooCloseToDoor:                You can't move a ram that close to a door!
Siege.Repair.NeedWoodworking:                You must have woodworking skill to repair a siege weapon.
Siege.Repair.DecayedBeyondRepair:            The siege weapon has decayed beyond repairs!
Siege.Salvage.NeedSiegeCrafting:             You must be a Siege weapon crafter to salvage it.
Siege.Salvage.EnemyRealm:                    You cannot salvage another realm's siege weapon!
Siege.Use.CantNow:                           You can't use this siege weapon now!
Siege.Use.NeedsRepair:                       The siege weapon needs to be repaired!
Siege.Ram.DoorsOnly:                         Rams can only attack doors!
Siege.Ram.TooFarToAttack:                    You are too far away to attack {0}
Siege.Ram.TooMany:                           Too many rams are already attacking {0}
Siege.Ram.AlreadyDestroyed:                  {0} is already destroyed!
Siege.Hit.Damage:                            The {0} hits {1} for {2} damage!
Siege.Hit.Area:                              {0} hits {1}
Siege.Action.Unhandled:                      Unhandled action ID: {0}

# Vault
Vault.NotActivelyViewing:                    You are not actively viewing a vault!
Vault.NoAddPermission:                       You don't have permission to add items!
Vault.NoRemovePermission:                    You don't have permission to remove items!
Vault.CantStoreUntradable:                   You cannot put this untradable item into a house vault!
Vault.CantSwapUntradable:                    You cannot swap with an untradable item!

# Consignment and market
Consignment.HoldsBountyPoints:               Your merchant currently holds {0} Bounty Points.
Consignment.TooFarToGive:                    You are too far away to give anything to {0}.
Consignment.PriceSet:                        Price set!
Consignment.ItemNotTradableStoreOnly:        This item is not tradable. You can store it here but cannot sell it.
Consignment.ItemToPurchaseNotFound:          I can't find the item you want to purchase!
Consignment.BuyWithMarketFeeConfirm:         Buying directly from the market explorer costs an additional {0}% fee. Do you want to buy this item?
Consignment.BuyConfirm:                      Do you want to buy this item?
Consignment.NeedMerchantOrExplorer:          I'm sorry, you need to be talking to a market explorer or consignment merchant in order to make a purchase.
Consignment.WithdrawBountyPoints:            You withdraw {0} Bounty Points from your merchant.
Consignment.Move.EmptySlotOnly:              You can only move an item to an empty slot!
Consignment.Buy.CantBuyFromSelf:             You can't buy items from yourself!
Consignment.ItemCannotBePurchased:           This item can't be purchased!
MarketExplorer.MarketUnavailable:            Sorry, the market is not available at this time.
MarketExplorer.ItemsReturned:                Items returned: {0}
MarketExplorer.MovingToPage:                 Moving to page {0}.
MarketExplorer.ConsignmentMerchantNotFound:  I can't find the consignment merchant for this item!

# Recovered house bankers
Banker.Vault.MasterGreeting:                 Why hello {0}. I am the master vault banker. I can help you recover possessions from repossessed houses. Which vault would you like to access?
Banker.Vault.PersonalLink:                   Personal Vault {0}
Banker.Vault.GuildLink:                      Guild Vault {0}
Banker.Vault.CannotAccess:                   I cannot access this vault at this time. Either you lack permission, or you have an active house and should use your real vaults.
Banker.Vault.LegacyPersonalGreeting:         Why hello {0}. If your house had vault {1} and has been repossessed, I can give you the items you had in that vault. I can't take any new possessions, but feel free to take back whatever you want.
Banker.Vault.LegacyGuildGreeting:            Why hello {0}. If your guild's house has been repossessed and you had permission to use guild vault {1}, I can give you the items from that vault. I can't take any new possessions, but feel free to take back whatever you want.
Banker.Vault.GenericGreeting:                Why hello {0}. I can help you recover items from repossessed house vaults.
Banker.Consignment.MasterGreeting:           Why hello {0}. I am the master consignment banker. I can help you recover possessions from repossessed houses. Which consignment merchant would you like to access?
Banker.Consignment.PersonalLink:             Personal Consignment
Banker.Consignment.GuildLink:                Guild Consignment
Banker.Consignment.CannotAccess:             I cannot access this consignment merchant at this time. Either you lack permission, or you have an active house and should use your real consignment merchant.
Banker.Consignment.LegacyGreeting:           You will be able to retrieve any items that your consignment merchant would have had if you had one and your house was repossessed.

# Tasks and missions
TaskMaster.Disabled:                         I'm sorry, Task Dungeons are currently disabled!
TaskMaster.Intro:                            I'm sure you're already aware that the guards protecting our towns often pay bounties to young adventurers willing to help them deal with threats in the area. We've decided to expand upon this idea and begin what we call the Taskmaster program. Volunteers such as myself have been authorized to reward those willing to confront the dangers lurking within our dungeons. If you would like to assist I can give you such an [assignment] right now, and you will be rewarded as soon as you complete it.
TaskMaster.AlreadyHaveTask:                  You already have a task that requires completion.
TaskMaster.Assignment:                       Based on your prowess and preference in engaging the enemy, I have assignments located in the [labyrinthine dungeons] for close quarter melee and tasks awaiting in [long corridors] for those who prefer ranged attacks. Select which you would prefer and I shall assign a task for you to complete. I can also explain more about the Taskmaster [program].
TaskMaster.Program:                          Unlike the tasks you can receive from guards by using /whisper task, the Taskmaster program is available to adventurers across a wide range of experience. You'll find taskmasters in many of our towns, ready to offer you the chance to aid the realm by confronting monsters in a nearby dungeon. With the recent emergence of new threats from beneath the earth, as well as the ongoing war with the enemy realms, we need all the help we can get.
TaskMaster.MissionAccepted:                  Very well {0}, it's good to see adventurers willing to help the realm in times like these.
TaskMaster.MissionClear:                     Clear {0} of creatures. Good luck!
TaskMaster.MissionBoss:                      {0} has taken over {1} and needs to be disposed of. Good luck!
TaskMaster.MissionSpecific:                  Please remove {0} {1} from {2}! The entrance is nearby.
MissionMaster.Intro.General:                 Greetings, {0}. We have put out the call far and wide for heroes such as yourself to aid us in our ongoing struggle. It warms my heart to see a great {1} such as yourself willing to lay their life on the line in defence of the [realm].
MissionMaster.Intro.Component:               Hail and well met, {0}! As the leader of our forces, I am calling upon our finest warriors to aid in the vanquishing of our enemies. Do you wish to do your duty in defence of our [realm]?
MissionMaster.Realm.General:                 We all must do our part. How would you like to assist the cause? I have [personal missions], [group missions], and [guild missions] available.
MissionMaster.Realm.Component:               Excellent! We all must do our part. How would you like to assist the cause? I have [personal missions] and [group missions] available.
MissionMaster.PersonalMissions:              We have several personal missions from which to choose. Would you like to claim the bounty on some [realm guards], or claim the bounties on some [enemies of the realm]? Perhaps a frontal assault isn't your style? If so, we also have missions that require you to [reconnoiter] an enemy realm, or eliminate the threat of an impending [assassination]?
MissionMaster.GroupMissions:                 Would your group like to help with a [tower capture], a [keep capture], or a [caravan] raid? Should those choices fail to appeal to you, I also have bounty missions on [enemy guards] and [realm enemies] if that is your preference.
MissionMaster.GuildMissions:                 Outstanding, we can always use help from organized guilds. Would you like to press the attack on the realm of [Albion] or the realm of [Hibernia]?
MissionMaster.NotInGroup:                    You are not in a group!
MissionMaster.NotGroupLeader:                You are not the leader of your group!
MissionMaster.NotImplemented:                This type of mission is not yet implemented.
MissionMaster.NoGuild:                       You have no guild!
MissionMaster.GuildRankTooLow:               You are not high enough rank in your guild!
Mission.Name.Personal:                       Personal Mission
Mission.Name.Group:                          Group Mission
Mission.Name.Realm:                          Realm Mission
Mission.Name.Task:                           Task
Mission.Name.Unknown:                        Unknown Mission
Mission.Name.Undefined:                      MISSION NAME UNDEFINED!
Mission.Description.Undefined:               MISSION DESCRIPTION UNDEFINED!
Mission.Description.KeepNull:                Keep is null when trying to send the description
Mission.Description.ScoutKeep:               Scout the area around {0}
Mission.Description.RaizeKeep:               Raize {0}
Mission.Description.CaptureKeep:             Capture {0}
Mission.RewardMoney:                         You receive {0} for completing your mission.
Mission.Finish:                              You finish the {0}!
Mission.Expired:                             Your {0} has expired!
TaskDungeonMission.Description.Boss:         You have been asked to kill {0} in the nearby caves.
TaskDungeonMission.Description.Specific:     You have been asked to kill {0} {1} in the nearby caves.
TaskDungeonMission.Description.Clear:        You have been asked to clear the nearby caves.
TaskDungeonMission.Description.ClearOneLeft: You have been asked to clear the nearby caves. {0} creature left!
TaskDungeonMission.Description.ClearManyLeft:You have been asked to clear the nearby caves. {0} creatures left!
TaskDungeonMission.Description.UnknownType:  No description for mission type {0}
Task.RewardMoney:                            You receive {0} for completing your task.
Task.Finish:                                 You finish the {0}!
Task.ItemRemoved:                            Your task related item has been removed from your inventory.
Task.Expired:                                Your {0} has expired!
Task.Kill.Name:                              Kill Task
Task.Kill.Description.FindAndKill:           Find a {0} and kill it, then return to me for your reward.
Task.Kill.Description.Return:                Return to {0} for your reward!
Task.Kill.ItemFormat:                        {0}'s {1}
Task.Kill.Item.Skin:                         Skin
Task.Kill.Item.Meat:                         Meat
Task.Kill.Item.Bones:                        Bones
Task.Kill.Item.Tooth:                        Tooth
Task.Kill.Item.Claw:                         Claw
Task.Kill.Item.Legs:                         Legs
Task.Kill.Item.Collar:                       Collar
Task.Kill.Item.Bone:                         Bone
Task.Kill.Item.Ear:                          Ear
Task.Kill.Item.Head:                         Head
Task.Kill.Item.Hair:                         Hair
Task.Kill.Item.Carapace:                     Carapace
Task.Kill.Item.Skull:                        Skull
Task.Kill.Item.PileOfDirt:                   Pile of dirt
Task.Kill.Item.Dust:                         dust
Task.Kill.Item.Slice:                        Slice
Task.Kill.Item.Wings:                        Wings
Task.Kill.Item.Egg:                          egg
Task.Kill.Item.Heart:                        heart
Task.Kill.Item.Mandible:                     mandible
Task.Money.Name:                             Delivery Task
Task.Money.Description:                      Bring the {0} to {1} in {2}.
Task.Craft.Name:                             Craft Task
Task.Craft.Description:                      Craft the {0} for {1} in {2}.
Task.Availability.MaxLevel:                  Tasks are only available to players up to level {0}!
Task.Availability.AlreadyHaveTask:           You already have a task. Select yourself and type /task for more information.
Task.Availability.TooManyTasksAtLevel:       You cannot complete more than {0} tasks at your level!
Task.Availability.NoTasksNow:                I have no tasks for you at the moment. Come back later, and perhaps then you can help me with something.
Task.Availability.NoTaskComeLater:           I have no task for you right now. Come back later.
Task.Kill.ReturnForReward:                   You must now return to {0} to receive your reward!
Task.Kill.RewardPromised:                    {0} says, *Good work {1}. Here is your reward as promised.*
Task.Craft.NoCraftIdea:                      I can't think of anything for you to make. Perhaps you should ask again.
Task.Money.BringItemToNpc:                   Bring {0} to {1} in {2}.

# Teleporters
GameTeleporter.NoPortalKeepFound:            No portal keep found.
GameTeleporter.NoHouseBindPoint:             Sorry, you haven't set any house bind point yet.
GameTeleporter.HouseBindHouseTornDown:       I'm afraid I can't teleport you to your hearth since the house at your house bind location has been torn down.
GameTeleporter.HouseBindstoneRemoved:        The bindstone at your current house bind location has been removed, so I can't teleport you there.
GameTeleporter.HouseBindNoPermission:        You're no longer allowed to bind at the house bindstone you've previously chosen, so I can't teleport you there.
GameTeleporter.DestinationUnavailable:       This destination is not available.
GameTeleporter.UniPortalSpellNotFound:       Uni-Portal spell not found.
PlayerStyleComponent.BackupStyleCleared:     {0} is no longer a valid backup style for your spec level and has been cleared.
TeleportArea.DestinationUnavailable:         This destination is not available: {0}.
WorldInventoryItem.MayPickUp:                You may now pick up {0}!
InlandTeleporter.Intro.Albion:               Greetings, {0}. I can channel energy to carry you to distant lands. I can send you to:\n\n[Castle Sauvage] in Camelot Hills or \n[Snowdonia Fortress] in Black Mountains North,\n[Avalon Marsh] wharf,\n[Gothwaite Harbor] in the [Shrouded Isles],\n[Camelot], our glorious capital,\n[Entrance] to the [Housing] areas,\n\nor one of the many [towns] throughout Albion.
InlandTeleporter.Intro.Midgard:              Greetings, {0}. I can channel energy to carry you to distant lands. I can send you to:\n\n[Svasud Faste] in Mularn or \n[Vindsaul Faste] in West Svealand,\nthe beaches of [Gotar] near Nailiten,\n[Aegirhamn] in the [Shrouded Isles],\n[Jordheim], our glorious city,\n[Entrance] to the [Housing] areas,\n\nor one of the many [towns] throughout Midgard.
InlandTeleporter.Intro.Hibernia:             Greetings, {0}. I can channel energy to carry you to distant lands. I can send you to:\n\n[Druim Ligen] in Connacht or \n[Druim Cain] in Bri Leith,\n[Shannon Estuary] watchtower,\n[Domnann] Grove in the [Shrouded Isles],\n[Tir na Nog], our glorious capital,\n[Entrance] to the [Housing] areas,\n\nor one of the many [towns] throughout Hibernia.
InlandTeleporter.NoRealm:                    I have no realm set, so I don't know what locations to offer.
InlandTeleporter.EpicDungeonPrompt:          Perhaps you would like the challenge of the [Epic Dungeon]?
InlandTeleporter.ShroudedIsles.Albion:       The isles of Avalon are an excellent choice. Would you prefer [Gothwaite], or perhaps one of the outlying towns like [Wearyall Village], Fort [Gwyntell], or [Caer Diogel]?
InlandTeleporter.ShroudedIsles.Midgard:      The isles of Aegir are an excellent choice. Would you prefer the city of [Aegirhamn], or perhaps one of the outlying towns like [Bjarken], [Hagall], or [Knarr]?
InlandTeleporter.ShroudedIsles.Hibernia:     The isles of Hy Brasil are an excellent choice. Would you prefer the grove of [Domnann], or perhaps one of the outlying towns like [Droighaid], [Aalid Feie], or [Necht]?
InlandTeleporter.Housing:                    I can send you to your [personal] or [guild] house. If you do not have a personal house, I can teleport you to the housing [entrance] or your housing [hearth] bindstone.
InlandTeleporter.Towns.Albion:               I can send you to:\n[Cotswold Village]\n[Prydwen Keep]\n[Caer Ulfwych]\n[Campacorentin Station]\n[Adribard's Retreat]\n[Yarley's Farm]
InlandTeleporter.Towns.Midgard:              I can send you to:\n[Mularn]\n[Fort Veldon]\n[Audliten]\n[Huginfell]\n[Fort Atla]\n[West Skona]
InlandTeleporter.Towns.Hibernia:             I can send you to:\n[Mag Mell]\n[Tir na mBeo]\n[Ardagh]\n[Howth]\n[Connla]\n[Innis Carthaig]
InlandTeleporter.NoGuildHouse:               I'm sorry, but {0} doesn't own a guild house.
InlandTeleporter.Teleporting:                {0} says, "I'm now teleporting you to {1}."
OFTeleporter.PortMessage.Albion:             From sodden ground to the glow of the moon, let each vessel in this circle depart to lands now lost from the light of our fair Camelot!
OFTeleporter.PortMessage.Midgard:            Huginn and Munnin guide you all and return with news of your journeys.
OFTeleporter.PortMessage.Hibernia:           Go forth and rid Hibernia of the threat of foreign barbarians and fools forever.
OFTeleporter.Says:                           {0} says, "{1}"

# Cards
Card.Rank.0:                                 Ace
Card.Rank.1:                                 Two
Card.Rank.2:                                 Three
Card.Rank.3:                                 Four
Card.Rank.4:                                 Five
Card.Rank.5:                                 Six
Card.Rank.6:                                 Seven
Card.Rank.7:                                 Eight
Card.Rank.8:                                 Nine
Card.Rank.9:                                 Ten
Card.Rank.10:                                Jack
Card.Rank.11:                                Queen
Card.Rank.12:                                King
Card.Suit.0:                                 Hearts
Card.Suit.1:                                 Diamonds
Card.Suit.2:                                 Clubs
Card.Suit.3:                                 Spades
Card.Name:                                   {0} of {1}
Card.Card:                                   card
Card.Cards:                                  cards
Card.Deck:                                   deck
Card.Decks:                                  decks
Card.ACard:                                  a card
Card.FaceDown:                               a card face down
Card.Yourself:                               yourself
Card.Themself:                               themself
Card.YouHaveNoCards:                         You have no cards.
Card.PlayerHasNoCards:                       {0} has no cards.
Card.YouAreHolding:                          You are holding {0} {1}.
Card.PlayerIsHolding:                        {0} is holding {1} {2}.
Card.YouDiscardCard:                         You discard the {0} from your hand.
Card.PlayerDiscardsCard:                     {0} discards {1} from their hand.
Card.CannotPlayWithoutGroup:                 You cannot play cards without a group!
Card.NoCardWithId:                           No card with ID {0} exists in your hand!
Card.YouDiscardAll:                          You discard all your cards.
Card.PlayerDiscardsAll:                      {0} discards all their cards.
Card.MustHaveGroup:                          You must have a group to play cards!
Card.YouShuffle:                             You shuffle {0} {1} of cards.
Card.PlayerShuffles:                         {0} shuffles {1} {2} of cards.
Card.PlayerMustBeInGroup:                    {0} must be in your group to play cards!
Card.MustShuffleBeforeDealing:               You must use /shuffle to prepare cards before dealing!
Card.NoCardsLeft:                            There are no cards left in the deck. Use /shuffle to prepare a new deck.
Card.YouDeal:                                You deal {0} {1}.
Card.PlayerDealsYou:                         {0} deals you the {1}.
Card.PlayerDeals:                            {0} deals {1} {2}.
Card.YouShowHand:                            You show your hand.
Card.PlayerShowsHand:                        {0} shows their hand.
Card.YouHaveNoCardsToDiscard:                You have no cards to discard.

# Guild and battlegroup
Guild.NotEnoughMoney:                        You don't have enough money!
Guild.MemberLoggedIn:                        Guild member {0} has logged in!
Guild.YouJoined:                             You have agreed to join {0}!
Guild.CurrentRank:                           Your current rank is {0}!
Guild.MemberJoined:                          {0} has joined the guild!
Guild.YouLeave:                              You leave the guild.
Guild.RemovedBy:                             {0} removed you from {1}.
GuildMgr.GuildAlreadyExists:                 {0} already exists. Please choose a different name.
GuildMgr.DatabaseErrorAddGuild:              Database error, unable to add a new guild.
GuildMgr.EmblemInUse:                        This emblem is already in use by another guild, please choose another one.
BattleGroup.YouLeave:                        You leave the battle group.
BattleGroup.MemberLeft:                      {0} has left the battle group.

# Commands
Commands.ServerInfo.Title:                   Server information
Commands.ServerInfo.Online:                  Online: {0}
Commands.ServerInfo.Uptime:                  Uptime: {0}d {1}h {2}m {3:00}s

# Quests, tasks, and server rules
TaskDungeonMission.MissionComplete:          Mission Complete
TaskDungeonInstance.Entered:                 You have entered {0}.
TaskDungeonInstance.Level:                   This instance is currently level {0}.
KillTask.NoKillOrder:                        Sorry, I couldn't find any mob kill order. Come back later!
KillTask.NoTaskComeBackLater:                I have no task for you. Come back later.
CraftTask.CraftForNpc:                       Craft {0} for {1} in {2}.
AbstractQuest.CommandInterrupted:            Your {0} is interrupted!
AbstractQuest.CommandCompletedHandlerMissing:Error, command completed handler not overridden for quest!
AbstractQuest.BackpackFullItemDropped:       Your backpack is full. {0} has been dropped on the ground.
AbstractQuest.BackpackFull:                  Your backpack is full!
AdventureWingJumpPoint.InstanceCreateError:  Something went wrong when creating the instance!
AbstractServerRules.UnknownMerchantType:     Unknown merchant type.
GameKeepComponent.Examine.Z:                 {0} with a Z of {1}
GameKeepComponent.KeepNull:                  Keep is null!
GamePlayer.RealmTitle.UnknownRealm:          Unknown Realm
GamePlayer.RealmTitle.UnknownRank:           Unknown Rank
DetailDisplay.Spell.Unknown:                 Unknown spell

# Custom NPCs
KingNPC.ChampionLevelReached:                You reached champion level {0}!
KingNPC.CanRespecializeChampionSkills:       I can [respecialize] your champion skills if you so desire.
KingNPC.ChampionSkillsReset:                 I have reset your champion skills!
EmblemNPC.Interact.Offer:                    For 5 gold, I can put your guild emblem on an item. Just hand me the item.
EmblemNPC.ItemAlreadyHasEmblem:              This item already has an emblem on it.
EmblemNPC.NoGuild:                           You have no guild.
EmblemNPC.GuildNoEmblem:                     Your guild has no emblem.
EmblemNPC.LevelOrTradeskillRequired:         You must be at least level 20 or have 400 in a tradeskill to wear an emblem.
EmblemNPC.NotEnoughPrivileges:               You do not have enough privileges for that.
EmblemNPC.ConfirmPutEmblem:                  Do you agree to put an emblem on this object for {0}?
EmblemNPC.CannotPutEmblemOnItem:             I cannot put an emblem on this item.
EmblemNPC.InvalidItem:                       Invalid item.
EmblemNPC.NotEnoughMoney:                    You don't have enough money.
